Co2 排放量,人口总数集,GDP,记录数,互联网使用率,人口 0-14,人口 15-64,人口 65+,人口总数,人均医疗费用,入境旅游,出境旅游,出生率,办税小时数,区域,医疗费用 % Gdp,国家/地区,城市人口,女性预期寿命,年份,开业天数,手机使用率,新生儿死亡率,男性预期寿命,经商便利度,能源使用,营业税税率,贷款利率
1052,1,,1,.01,.406,.535,.059,,118,,,.034,,非洲,.03,加蓬,.801,61,2000/12/1,,.1,.056,59,,1463,,.22
275,1,,1,.01,.459,.514,.027,,29,,,.045,,非洲,.05,冈比亚,.479,56,2000/12/1,,.01,.063,54,,,,.24
6289,1,,1,0,.414,.556,.03,,13,,,.035,,非洲,.05,加纳,.439,58,2000/12/1,,.01,.065,56,,7736,,
1280,.999,,1,0,.44,.525,.034,,19,,,.042,,非洲,.06,几内亚,.31,51,2000/12/1,,.01,.103,51,,,,.194
147,1,,1,0,.435,.534,.031,,16,,,.042,,非洲,.05,几内亚比绍,.367,53,2000/12/1,,,.109,50,,,,
10418,1.001,,1,0,.442,.531,.028,,19,,,.039,,非洲,.05,肯尼亚,.199,54,2000/12/1,,0,.069,52,,14055,,.223
,1,,1,0,.412,.543,.045,,29,,,.031,,非洲,.07,莱索托,.195,48,2000/12/1,,.01,.081,47,,,,.171
436,1,,1,0,.432,.537,.031,,11,,,.043,,非洲,.06,利比里亚,.443,53,2000/12/1,,0,.119,52,,,,.205
47114,1,,1,0,.333,.628,.039,,252,,,.022,,非洲,.03,利比亚,.763,74,2000/12/1,,.01,.024,70,,15901,,.07
1874,1,,1,0,.455,.515,.03,,12,,,.041,,非洲,.05,马达加斯加,.271,60,2000/12/1,,0,.071,57,,,,.265
906,1,,1,0,.458,.511,.031,,9,,,.045,,非洲,.06,马拉维,.146,46,2000/12/1,,0,.103,46,,,,.531
543,1,,1,0,.461,.504,.035,,16,,,.048,,非洲,.06,马里,.284,49,2000/12/1,,0,.116,49,,,,
1236,1,,1,0,.428,.54,.032,,24,,,.038,,非洲,.06,毛里塔尼亚,.492,61,2000/12/1,,.01,.076,58,,,,.256
2769,1,,1,.07,.258,.681,.061,,146,,,.017,,非洲,.04,毛里求斯,.427,75,2000/12/1,,.15,.016,68,,,,.208
33905,1.001,,1,.01,.341,.613,.047,,54,,,.022,,非洲,.04,摩洛哥,.533,70,2000/12/1,,.08,.043,67,,10238,,.133
1349,1,,1,0,.438,.53,.032,,15,,,.044,,非洲,.06,莫桑比克,.291,49,2000/12/1,,0,.114,46,,7173,,.19
1643,1,,1,.02,.405,.562,.033,,126,,,.032,,非洲,.06,纳米比亚,.324,57,2000/12/1,,.04,.049,53,,978,,.153
796,.999,,1,0,.479,.495,.025,,10,,,.053,,非洲,.06,尼日尔,.162,51,2000/12/1,,0,.101,51,,,,
79182,1,,1,0,.435,.537,.028,,17,,,.043,,非洲,.05,尼日利亚,.348,47,2000/12/1,,0,.113,46,,90596,,.213
686,1.001,,1,0,.466,.505,.03,,9,,,.041,,非洲,.04,卢旺达,.149,49,2000/12/1,,.01,.108,47,,,,.17
48,1,,1,.05,.44,.52,.04,,46,,,.036,,非洲,.09,圣多美和普林西比,.534,65,2000/12/1,,,.058,62,,,,.397
3938,1,,1,0,.451,.517,.032,,22,,,.04,,非洲,.05,塞内加尔,.403,59,2000/12/1,,.03,.069,56,,2398,,
565,1,,1,.07,.282,.637,.081,,371,,,.019,,非洲,.05,塞舌尔群岛,.501,,2000/12/1,,.33,.012,,,,,.107
425,1.001,,1,0,.43,.546,.025,,28,,,.044,,非洲,.18,塞拉利昂,.356,39,2000/12/1,,0,.141,37,,,,.263
517,1,,1,0,.472,.499,.029,,,,,.049,,非洲,,索马里,.332,52,2000/12/1,,.01,.105,49,,,,
368611,1,,1,.05,.33,.636,.034,,246,,,.024,,非洲,.08,南非,.569,58,2000/12/1,,.19,.052,54,,109264,,.145
,1,,1,,.447,.523,.03,,,,,.043,,非洲,,南苏丹,.165,50,2000/12/1,,,.11,48,,,,
5534,1,,1,0,.437,.533,.03,,15,,,.04,,非洲,.03,苏丹,.325,60,2000/12/1,,0,.069,56,,13340,,
1188,.999,,1,.01,.446,.524,.029,,75,,,.033,,非洲,.05,斯威士兰,.227,49,2000/12/1,,.03,.08,48,,,,.14
2651,1,,1,0,.448,.523,.029,,10,,,.042,,非洲,.03,坦桑尼亚,.223,51,2000/12/1,,0,.08,49,,13390,,.216
1357,1,,1,.01,.442,.529,.029,,14,,,.039,,非洲,.05,多哥,.329,54,2000/12/1,,.01,.077,53,,2111,,
19923,.999,,1,.03,.298,.641,.06,,123,,,.017,,非洲,.05,突尼斯,.634,75,2000/12/1,,.01,.026,71,,7306,,
1533,1.001,,1,0,.493,.481,.027,,16,,,.048,,非洲,.07,乌干达,.121,48,2000/12/1,,.01,.089,48,,,,.229
1819,.999,,1,0,.457,.515,.027,,18,,,.045,,非洲,.06,赞比亚,.348,42,2000/12/1,,.01,.1,42,,6244,,.388
13887,1.001,,1,0,.422,.545,.034,,,,,.032,,非洲,,津巴布韦,.338,44,2000/12/1,,.02,.061,44,,9865,,.682
781,1,,1,,.495,.485,.02,,,,,.05,,亚洲,,阿富汗,.213,56,2000/12/1,,,.095,54,,,,
3465,1,,1,.01,.259,.641,.1,,39,,,.013,,亚洲,.06,亚美尼亚,.647,75,2000/12/1,,.01,.027,68,,2015,,.316
29508,1,,1,0,.311,.633,.056,,30,,,.015,,亚洲,.05,阿塞拜疆,.514,70,2000/12/1,,.05,.061,64,,11296,,.197
27869,1.001,,1,0,.37,.59,.041,,10,,,.027,,亚洲,.03,孟加拉国,.236,66,2000/12/1,,0,.064,65,,18591,,.155
400,1,,1,0,.406,.556,.038,,52,,,.028,,亚洲,.07,不丹,.254,60,2000/12/1,,,.059,60,,,,.16
6527,1,,1,.09,.304,.668,.028,,543,,,.023,,亚洲,.03,文莱,.712,78,2000/12/1,,.29,.008,74,,2385,,.055
1977,1,,1,0,.408,.554,.038,,19,,,.028,,亚洲,.06,柬埔寨,.186,65,2000/12/1,,.01,.082,59,,3412,,
3405180,1,,1,.02,.256,.675,.069,,43,,,.014,,亚洲,.05,中国,.359,74,2000/12/1,,.07,.03,71,,1161353,,.059
4536,1,,1,.01,.219,.656,.125,,45,,,.012,,亚洲,.07,格鲁吉亚,.526,75,2000/12/1,,.04,.031,68,,2869,,.247
40465,1,,1,.28,.173,.717,.11,,,,,.008,,亚洲,,中国香港特别行政区,1,84,2000/12/1,,.8,,78,,13392,,.095
1186663,1,,1,.01,.342,.614,.044,,20,,,.026,,亚洲,.04,印度,.277,63,2000/12/1,,0,.067,61,,457198,,.123
263419,1.001,,1,.01,.307,.647,.047,,15,,,.022,,亚洲,.02,印度尼西亚,.42,69,2000/12/1,,.02,.041,65,,154768,,.185
1219589,1,,1,.3,.146,.682,.172,,2834,,,.009,,亚洲,.08,日本,.786,85,2000/12/1,,.53,.003,78,,518964,,.021
127769,1,,1,.01,.277,.655,.068,,52,,,.015,,亚洲,.04,哈萨克斯坦,.557,71,2000/12/1,,.01,.038,60,,35679,,
76699,1,,1,,.26,.681,.059,,,,,.018,,亚洲,,朝鲜,.594,69,2000/12/1,,,.045,61,,19717,,
447561,1,,1,.45,.21,.717,.073,,491,,,.013,,亚洲,.04,韩国,.796,80,2000/12/1,,.58,.005,72,,188161,,.085
4529,1.001,,1,.01,.35,.596,.055,,13,,,.02,,亚洲,.05,吉尔吉斯斯坦,.353,72,2000/12/1,,0,.042,65,,2317,,.519
972,1,,1,0,.435,.529,.036,,11,,,.031,,亚洲,.03,老挝,.22,63,2000/12/1,,0,.083,60,,,,.32
1635,1,,1,.14,.228,.698,.074,,,,,.009,,亚洲,,中国澳门特别行政区,1,80,2000/12/1,,.33,,75,,,,.099
126603,.999,,1,.21,.333,.628,.038,,120,,,.023,,亚洲,.03,马来西亚,.62,75,2000/12/1,,.22,.009,71,,47110,,.077
499,1,,1,.02,.413,.549,.038,,162,,,.025,,亚洲,.07,马尔代夫,.277,70,2000/12/1,,.03,.035,69,,,,.13
7506,1,,1,.01,.348,.615,.037,,22,,,.019,,亚洲,.05,蒙古,.571,66,2000/12/1,,.06,.049,60,,2397,,.37
10088,.999,,1,,.307,.645,.047,,3,,,.021,,亚洲,.02,缅甸,.27,64,2000/12/1,,0,.059,60,,12841,,.153
3234,1,,1,0,.404,.558,.038,,12,,,.033,,亚洲,.05,尼泊尔,.134,63,2000/12/1,,0,.06,61,,8108,,.095
106449,1,,1,,.415,.546,.039,,15,,,.031,,亚洲,.03,巴基斯坦,.332,65,2000/12/1,,0,.088,63,,64067,,
73307,1,,1,.02,.385,.583,.032,,33,,,.03,,亚洲,.03,菲律宾,.48,70,2000/12/1,,.08,.03,64,,39872,,.109
49006,1,,1,.36,.215,.712,.073,,662,,,.012,,亚洲,.03,新加坡,1,80,2000/12/1,,.7,.003,76,,18692,,.058
10161,1.001,,1,.01,.269,.669,.063,,32,,,.018,,亚洲,.04,斯里兰卡,.184,75,2000/12/1,,.02,.014,68,,8327,,.162
2237,1,,1,0,.429,.536,.035,,6,,,.03,,亚洲,.05,塔吉克斯坦,.265,68,2000/12/1,,0,.075,60,,2149,,.256
188355,1.001,,1,.04,.242,.693,.066,,67,,,.015,,亚洲,.03,泰国,.314,75,2000/12/1,,.05,.019,67,,72284,,.078
,1.001,,1,,.498,.479,.024,,19,,,.043,,亚洲,.05,东帝汶,.243,61,2000/12/1,,,.084,58,,,,
35365,1,,1,0,.363,.594,.043,,44,,,.024,,亚洲,.04,土库曼斯坦,.459,68,2000/12/1,,0,.066,60,,14871,,
119951,1,,1,.01,.373,.584,.043,,29,,,.021,,亚洲,.05,乌兹别克斯坦,.374,70,2000/12/1,,0,.053,64,,50757,,
53645,1,,1,0,.316,.62,.064,,20,,,.017,,亚洲,.05,越南,.244,78,2000/12/1,,.01,.027,69,,28736,,.106
3022,.999,,1,0,.303,.628,.068,,70,,,.019,,欧洲,.06,阿尔巴尼亚,.417,77,2000/12/1,,.01,.023,71,,1763,,.221
524,,,1,.11,,,,,1330,,,.011,,欧洲,.06,安道尔,.924,,2000/12/1,,.36,.004,,,,,
63696,1,,1,.34,.17,.675,.155,,2403,,,.01,,欧洲,.1,奥地利,.658,81,2000/12/1,,.76,.005,75,,28558,,
53469,.999,,1,.02,.186,.679,.134,,64,,,.009,,欧洲,.06,白俄罗斯,.7,75,2000/12/1,,.01,.011,63,,24695,,.677
115709,1,,1,.29,.176,.655,.169,,1845,,,.011,,欧洲,.08,比利时,.971,81,2000/12/1,,.55,.005,75,,58508,,.08
23223,1,,1,.01,.202,.691,.107,,103,,,.01,,欧洲,.07,波斯尼亚和黑塞哥维那,.393,77,2000/12/1,,.02,.008,72,,4346,,.305
43531,1,,1,.05,.157,.677,.166,,98,,,.009,,欧洲,.06,保加利亚,.689,75,2000/12/1,,.09,.018,68,,18688,,.113
19644,1.001,,1,.07,.172,.673,.156,,377,,,.01,,欧洲,.08,克罗地亚,.556,77,2000/12/1,,.23,.007,69,,7790,,.121
6850,1,,1,.15,.224,.674,.102,,744,,,.013,,欧洲,.06,塞浦路斯,.686,80,2000/12/1,,.23,.006,76,,2137,,.08
124649,1,,1,.1,.165,.697,.138,,361,,,.009,,欧洲,.06,捷克共和国,.74,78,2000/12/1,,.42,.006,72,,40993,,.072
47260,1.001,,1,.39,.185,.667,.149,,2613,,,.013,,欧洲,.09,丹麦,.851,79,2000/12/1,,.63,.005,74,,18634,,.081
15181,1.001,,1,.29,.18,.669,.152,,213,,,.01,,欧洲,.05,爱沙尼亚,.694,76,2000/12/1,,.41,.009,65,,4715,,.074
711,,,1,.33,,,,,,,,,,欧洲,,法罗群岛,.363,82,2000/12/1,,.37,,76,,,,
52141,1,,1,.37,.182,.669,.149,,1700,,,.011,,欧洲,.07,芬兰,.822,81,2000/12/1,,.72,.004,74,,32233,,.056
365560,.999,,1,.14,.189,.65,.16,,2209,,,.013,,欧洲,.1,法国,.759,83,2000/12/1,,.49,.004,75,,251981,,.067
829978,1,,1,.3,.156,.681,.163,,2387,,,.009,,欧洲,.1,德国,.731,81,2000/12/1,,.58,.004,75,,336584,,.096
91616,1,,1,.09,.152,.68,.168,,918,,,.01,,欧洲,.08,希腊,.727,81,2000/12/1,,.54,.007,75,,27086,,.123
57238,.999,,1,.07,.168,.68,.151,,326,,,.01,,欧洲,.07,匈牙利,.646,76,2000/12/1,,.3,.01,67,,24999,,.126
2164,1,,1,.45,.233,.651,.116,,2961,,,.014,,欧洲,.1,冰岛,.924,82,2000/12/1,,.76,.003,78,,3100,,.168
41345,1,,1,.18,.218,.67,.112,,1572,,,.014,,欧洲,.06,爱尔兰,.591,79,2000/12/1,,.65,.006,74,,13574,,.048
,,,1,,,,,,,,,,,欧洲,,马恩岛,.518,,2000/12/1,,,,,,,,
451441,1,,1,.23,.143,.674,.183,,1527,,,.01,,欧洲,.08,意大利,.672,83,2000/12/1,,.74,.005,77,,171522,,.07
,,,1,,,,,,,,,.023,,欧洲,,科索沃,,70,2000/12/1,,,,66,,1545,,
6241,1,,1,.06,.179,.671,.15,,197,,,.009,,欧洲,.06,拉脱维亚,.681,76,2000/12/1,,.17,.015,65,,3832,,.119
,,,1,.37,,,,,,,,.013,,欧洲,,列支敦士登,.151,80,2000/12/1,,.3,,74,,,,
12200,1,,1,.06,.199,.662,.139,,212,,,.01,,欧洲,.07,立陶宛,.67,78,2000/12/1,,.15,.01,67,,7131,,.121
8240,1,,1,.23,.189,.67,.141,,3495,,,.013,,欧洲,.08,卢森堡,.842,81,2000/12/1,,.7,.004,75,,3335,,
12064,1,,1,.03,.224,.676,.1,,153,,,.013,,欧洲,.09,马其顿（前南斯拉夫）,.585,76,2000/12/1,,.06,.014,71,,2668,,.189
2065,1,,1,.13,.207,.686,.107,,643,,,.012,,欧洲,.07,马耳他,.924,80,2000/12/1,,.28,.007,76,,676,,.073
3513,1,,1,.01,.237,.663,.1,,24,,,.012,,欧洲,.07,摩尔多瓦,.458,71,2000/12/1,,.03,.025,63,,2883,,.338
,,,1,.42,,,,,2685,,,,,欧洲,.03,摩纳哥,1,,2000/12/1,,.43,.004,,,,,
,.999,,1,,.213,.673,.113,,121,,,.013,,欧洲,.08,蒙特内格罗,.585,77,2000/12/1,,,.013,71,,,,
165363,1.001,,1,.44,.186,.679,.136,,1932,,,.013,,欧洲,.08,荷兰,.768,81,2000/12/1,,.68,.005,76,,73223,,.048
38808,1,,1,.52,.2,.648,.152,,3432,,,.013,,欧洲,.09,挪威,.761,81,2000/12/1,,.72,.004,76,,26092,,.089
301691,1.001,,1,.07,.194,.684,.123,,247,,,.01,,欧洲,.06,波兰,.617,78,2000/12/1,,.18,.008,70,,89116,,.2
62966,1,,1,.16,.162,.676,.162,,1070,,,.012,,欧洲,.09,葡萄牙,.544,80,2000/12/1,,.65,.006,73,,24673,,
89985,1,,1,.04,.186,.68,.134,,72,,,.01,,欧洲,.04,罗马尼亚,.53,75,2000/12/1,,.11,.023,68,,36228,,.539
1558112,1,,1,.02,.182,.694,.124,,96,,,.009,,欧洲,.05,俄罗斯,.734,72,2000/12/1,,.02,.02,59,,619265,,.244
,,,1,.49,,,,,2161,,,,,欧洲,.05,圣马力诺,.934,84,2000/12/1,,.54,.005,77,,,,.092
,1,,1,,.202,.669,.129,,51,,,.01,,欧洲,.07,塞尔维亚,.532,75,2000/12/1,,,.011,70,,13728,,.063
37312,1,,1,.09,.197,.689,.114,,208,,,.01,,欧洲,.06,斯洛伐克,.562,77,2000/12/1,,.23,.01,69,,17743,,.149
14265,1,,1,.15,.159,.7,.141,,831,,,.009,,欧洲,.08,斯洛文尼亚,.508,79,2000/12/1,,.61,.005,72,,6413,,.158
294434,1.001,,1,.14,.148,.684,.169,,1045,,,.01,,欧洲,.07,西班牙,.763,83,2000/12/1,,.6,.005,76,,121856,,.052
49794,1,,1,.46,.184,.643,.173,,2282,,,.01,,欧洲,.08,瑞典,.84,82,2000/12/1,,.72,.003,77,,47556,,.058
39050,1,,1,.47,.174,.673,.153,,3541,,,.011,,欧洲,.1,瑞士,.733,83,2000/12/1,,.65,.005,77,,25005,,.043
216148,1.001,,1,.04,.307,.634,.06,,196,,,.021,,欧洲,.05,土耳其,.647,74,2000/12/1,,.26,.034,66,,76348,,
320774,1.001,,1,.01,.175,.688,.138,,36,,,.008,,欧洲,.06,乌克兰,.671,74,2000/12/1,,.02,.016,62,,133794,,.415
543662,1,,1,.27,.19,.652,.158,,1761,,,.012,,欧洲,.07,英国,.787,80,2000/12/1,,.74,.006,75,,222940,,.06
18643,.999,,1,.06,.308,.667,.024,,476,,,.021,,中东,.04,巴林,.884,76,2000/12/1,,.31,.011,74,,5865,,.116
372703,1,,1,.01,.347,.611,.042,,231,,,.019,,中东,.05,伊朗,.64,71,2000/12/1,,.02,.029,69,,122983,,
72445,1,,1,,.428,.537,.035,,7,,,.036,,中东,.01,伊拉克,.685,73,2000/12/1,,,.036,69,,25937,,
62691,1,,1,.21,.281,.619,.1,,1454,,,.022,,中东,.07,以色列,.912,81,2000/12/1,,.73,.006,77,,18234,,.128
15508,1,,1,.03,.394,.575,.031,,171,,,.031,,中东,.1,约旦,.798,73,2000/12/1,,.08,.023,70,,4864,,.118
55181,1,,1,.07,.257,.712,.031,,494,,,.024,,中东,.03,科威特,.981,74,2000/12/1,,.25,.011,72,,18805,,.089
15354,1,,1,.08,.286,.643,.071,,579,,,.019,,中东,.11,黎巴嫩,.86,76,2000/12/1,,.23,.017,73,,4907,,.182
21896,1,,1,.04,.372,.605,.023,,264,,,.024,,中东,.03,阿曼,.716,74,2000/12/1,,.07,.014,70,,8083,,.101
34730,1,,1,.05,.259,.724,.017,,652,,,.019,,中东,.02,卡塔尔,.963,78,2000/12/1,,.2,.011,76,,10876,,
296935,1,,1,.02,.384,.581,.035,,398,,,.027,,中东,.04,沙特阿拉伯,.798,74,2000/12/1,,.07,.019,71,,101325,,
51048,1,,1,0,.408,.558,.034,,59,,,.03,,中东,.05,叙利亚,.519,75,2000/12/1,,0,.02,72,,15765,,.09
112562,1,,1,.24,.254,.736,.01,,752,,,.017,,中东,.02,阿拉伯联合酋长国,.802,75,2000/12/1,,.47,.01,73,,33944,,.097
14639,1,,1,0,.486,.485,.029,,25,,,.039,,中东,.04,也门,.263,62,2000/12/1,,0,.069,59,,4747,,.195
,,,1,,,,,,,,,,,大洋洲,,美属萨摩亚,.886,,2000/12/1,,.04,,,,,,
329605,1,,1,.47,.207,.669,.124,,1713,,,.013,,大洋洲,.08,澳大利亚,.872,82,2000/12/1,,.45,.005,77,,108110,,.093
865,1,,1,.02,.351,.615,.034,,80,,,.025,,大洋洲,.04,斐济,.479,70,2000/12/1,,.07,.021,65,,,,.084
631,1.001,,1,.06,.318,.64,.043,,,,,.02,,大洋洲,,法属波利尼西亚,.561,75,2000/12/1,,.17,,70,,,,
,1.001,,1,.16,.305,.642,.054,,,,,.022,,大洋洲,,关岛,.931,78,2000/12/1,,.18,,73,,,,
33,1,,1,.02,.399,.567,.034,,65,,,.029,,大洋洲,.08,基里巴斯,.43,68,2000/12/1,,0,.054,62,,,,
77,,,1,.02,,,,,466,,,,,大洋洲,.23,马绍尔群岛,.684,68,2000/12/1,,.01,.034,63,,,,
136,1,,1,.04,.403,.56,.037,,170,,,.03,,大洋洲,.08,密克罗尼西亚联邦,.223,68,2000/12/1,,,.042,67,,,,.153
2299,1,,1,.14,.287,.654,.059,,,,,.021,,大洋洲,,新喀里多尼亚,.618,78,2000/12/1,,.24,,72,,,,
32897,1,,1,.47,.227,.655,.118,,1052,,,.015,,大洋洲,.08,新西兰,.857,81,2000/12/1,,.4,.006,76,,17056,,.078
2688,1,,1,.01,.402,.573,.025,,26,,,.035,,大洋洲,.04,巴布亚新几内亚,.132,61,2000/12/1,,0,.058,57,,,,.175
139,1,,1,.01,.407,.548,.045,,80,,,.031,,大洋洲,.06,萨摩亚,.22,73,2000/12/1,,.01,.019,66,,,,
165,1,,1,.01,.419,.553,.028,,48,,,.036,,大洋洲,.05,所罗门群岛,.158,64,2000/12/1,,0,.028,62,,,,.146
121,1,,1,.02,.384,.559,.057,,92,,,.028,,大洋洲,.05,汤加,.23,73,2000/12/1,,0,.015,69,,,,.113
81,1,,1,.02,.415,.552,.033,,52,,,.032,,大洋洲,.04,瓦努阿图,.217,69,2000/12/1,,0,.02,66,,,,.099
345,1,,1,.07,.292,.637,.071,,408,,,.02,,美洲,.04,安提瓜和巴布达,.321,76,2000/12/1,,.28,.014,71,,,,.122
141077,.999,,1,.07,.279,.621,.099,,710,,,.019,,美洲,.09,阿根廷,.891,78,2000/12/1,,.18,.018,70,,60954,,.111
2233,1,,1,.15,.232,.692,.076,,,,,.014,,美洲,,阿鲁巴,.467,76,2000/12/1,,.17,,71,,,,.121
1668,1.001,,1,.08,.293,.654,.054,,1107,,,.018,,美洲,.05,巴哈马,.82,75,2000/12/1,,.11,.013,69,,,,.06
1188,1,,1,.04,.219,.666,.115,,602,,,.013,,美洲,.06,巴巴多斯,.338,75,2000/12/1,,.11,.015,71,,,,.102
689,1,,1,.06,.402,.555,.043,,139,,,.029,,美洲,.04,伯利兹,.477,74,2000/12/1,,.07,.021,67,,,,.16
495,,,1,.43,,,,,,,,.014,,美洲,,百慕大,1,81,2000/12/1,,.21,,75,,,,
10224,1,,1,.01,.398,.56,.042,,60,,,.031,,美洲,.06,玻利维亚,.618,65,2000/12/1,,.07,.057,61,,3737,,.346
327984,1,,1,.03,.296,.649,.055,,265,,,.021,,美洲,.07,巴西,.812,74,2000/12/1,,.13,.029,67,,187442,,.568
534484,1,,1,.51,.192,.683,.125,,2090,,,.011,,美洲,.09,加拿大,.795,82,2000/12/1,,.28,.005,77,,251450,,.073
455,,,1,,,,,,,,,,,美洲,,开曼群岛,1,,2000/12/1,,.26,,,,,,
58694,1,,1,.17,.278,.65,.072,,390,,,.017,,美洲,.08,智利,.861,80,2000/12/1,,.22,.009,74,,25174,,.148
57924,.999,,1,.02,.328,.624,.047,,148,,,.023,,美洲,.06,哥伦比亚,.721,75,2000/12/1,,.06,.021,67,,25814,,.188
5475,1.001,,1,.06,.315,.631,.055,,287,,,.02,,美洲,.07,哥斯达黎加,.59,80,2000/12/1,,.05,.011,75,,2874,,.249
26039,1,,1,.01,.216,.685,.099,,166,,,.013,,美洲,.06,古巴,.753,79,2000/12/1,,0,.007,75,,12859,,
,1,,1,,.249,.648,.103,,,,,,,美洲,,库拉索,.908,,2000/12/1,,,,,,,,
103,,,1,.09,,,,,231,,,,,美洲,.05,多米尼克,.653,,2000/12/1,,.02,.014,,,,,.117
20117,.999,,1,.04,.349,.599,.051,,173,,,.025,,美洲,.06,多米尼加共和国,.617,74,2000/12/1,,.08,.033,68,,7499,,.268
20942,1,,1,.02,.345,.604,.051,,53,,,.025,,美洲,.04,厄瓜多尔,.603,76,2000/12/1,,.04,.028,71,,7815,,.171
5743,1,,1,.01,.383,.562,.055,,179,,,.025,,美洲,.08,萨尔瓦多,.589,74,2000/12/1,,.13,.027,65,,3968,,.14
532,,,1,.32,,,,,,,,.016,,美洲,,格陵兰,.816,70,2000/12/1,,.27,,64,,,,
191,1,,1,.04,.35,.572,.078,,339,,,.019,,美洲,.07,格林纳达,.359,73,2000/12/1,,.04,.014,68,,,,.116
9916,1,,1,.01,.441,.519,.04,,96,,,.037,,美洲,.06,危地马拉,.451,71,2000/12/1,,.08,.04,64,,7041,,.209
1610,1.001,,1,.07,.354,.602,.045,,56,,,.022,,美洲,.06,圭亚那,.287,67,2000/12/1,,.05,.039,60,,,,.173
1368,1,,1,0,.403,.557,.04,,26,,,.031,,美洲,.06,海地,.356,59,2000/12/1,,.01,.075,56,,2010,,.314
5031,1,,1,.01,.424,.537,.039,,76,,,.032,,美洲,.07,洪都拉斯,.455,73,2000/12/1,,.03,.031,68,,2990,,.268
10319,1.001,,1,.03,.327,.599,.075,,189,,,.021,,美洲,.06,牙买加,.518,73,2000/12/1,,.14,.02,68,,3829,,.233
381518,1,,1,.05,.341,.61,.049,,328,,,.024,,美洲,.05,墨西哥,.747,77,2000/12/1,,.14,.022,72,,145384,,.169
3762,1,,1,.01,.409,.554,.037,,54,,,.028,,美洲,.05,尼加拉瓜,.547,72,2000/12/1,,.02,.033,67,,2522,,.181
5790,.999,,1,.07,.321,.623,.055,,295,,,.024,,美洲,.08,巴拿马,.622,78,2000/12/1,,.13,.022,73,,2569,,.105
3689,1,,1,.01,.382,.574,.044,,124,,,.028,,美洲,.08,巴拉圭,.553,72,2000/12/1,,.15,.028,68,,3850,,.268
30297,1,,1,.03,.341,.611,.048,,96,,,.024,,美洲,.05,秘鲁,.73,73,2000/12/1,,.05,.03,68,,12222,,.3
,1,,1,.11,.236,.651,.113,,,,,.016,,美洲,,波多黎各,.944,81,2000/12/1,,.35,,73,,,,
,,,1,,,,,,,,,,,美洲,,圣马丁（荷属）,1,,2000/12/1,,,,,,,,
